Phân khúc,Mã Sản Phẩm,Mô Hình Tối Ưu,Val_sMAPE (%),Val_RMSE,Dự báo T1/2026 (Áp dụng tính mùa vụ),Dự báo T2/2026 (Áp dụng tính mùa vụ),Dự báo T3/2026 (Áp dụng tính mùa vụ)
A - ML Candidate,14.L1.3060.A36822(D),LSTM,22.95,1736.43,2833,2771,4424
A - ML Candidate,"14.L1.3060.A369(10,22)",Ensemble,29.5,1399.77,1917,2473,3313
C - Sparse,14.L1.3060.A36AG403,Naive,0,0,0,0,0
A - ML Candidate,14.L1.3060.US36AG901(D),Prophet,98.65,317.23,0,0,259
A - ML Candidate,14.L1.3060.US36AW801,ARIMA,51.26,234.05,536,126,1099
A - ML Candidate,"14.L1.3060.US36CB(806,902/902D)",Ensemble,65.59,273.99,559,84,174
A - ML Candidate,"14.L1.3060.US36CG80(2,4)",Ensemble,73.09,425.94,1035,135,195
A - ML Candidate,14.L1.3060.US36CN906_,LSTM,128.07,235.52,143,66,157
A - ML Candidate,14.L1.3060.US36CW807,Ensemble,10.78,46.62,156,108,469
A - ML Candidate,14.L1.3060.US36LB907_,Ensemble,32.54,113.1,80,155,599
A - ML Candidate,14.L1.3060.US36LG904(D),Ensemble,99.05,137.47,600,104,90
A - ML Candidate,"14.L1.4080.488(00,07,68)",ARIMA,117.98,681.39,36,22,55
A - ML Candidate,"14.L1.4080.4890(7/7D,8D)",Prophet,48.81,198.2,0,0,0
A - ML Candidate,"14.L1.60120.(61184061,61185064,61286012,61432051,M61LD902,M61ST301,US6861)",ARIMA,124.09,55.41,6,4,6
A - ML Candidate,"14.L1.6060.6618(1004,182031, 282018, 383026)",ARIMA,56.77,744.21,392,258,477
A - ML Candidate,14.L1.80120.M81__,ARIMA,93.25,115.22,80,23,46
A - ML Candidate,"14.L1.8080.88(181004, 282018, 283003, 284041,285052)",Ensemble,95.88,311.23,259,170,323
A - ML Candidate,"14.L1.8080.M88(AG905, DT904, LD902, LG902, MW909, 8OW903)",ARIMA,115.92,335.29,92,54,146
A - ML Candidate,"15.L1.3060.291(1,2,3)",Prophet,133.33,297.26,0,0,0
A - ML Candidate,"15.L1.6060.660(1,2,4,5,6)",Prophet,48.85,3883.5,0,0,0
C - Sparse,20.L1.100100.51107,Naive,0,0,0,0,0
C - Sparse,"20.L1.100100.911(10,11,12,13,20,21,22,23)",Naive,22.23,550.57,0,0,1666
A - ML Candidate,"20.L1.6060.1600(1,3,4)",ARIMA,70.53,526.18,633,266,1775
A - ML Candidate,"20.L1.6060.161(05,14,17)",ARIMA,126.03,160.1,66,60,180
A - ML Candidate,20.L1.6060.16405,ARIMA,90.78,30.1,0,0,0
A - ML Candidate,"20.L1.6060.2600(4,6)",ARIMA,108.9,335.17,29,14,67
A - ML Candidate,"20.L1.6060.261(01,03,07,12,72)",ARIMA,74.44,573.56,265,175,639
A - ML Candidate,20.L1.6060.86301,Ensemble,59.28,329.33,578,203,635
C - Sparse,"20.L1.6060.A16(114,405)",MA6,13.61,257.61,1055,622,2250
C - Sparse,"20.L1.6060.A26(006,107,112,172)",Croston,26.89,1456.37,4006,1484,6313
C - Sparse,20.L1.6060.A3600(3-6),Naive,7.19,311.27,2148,3317,4280
C - Sparse,20.L1.6060.A3690(2-4),MA3,38.97,605,1527,813,3429
C - Sparse,20.L1.6060.A6610(1-6),MA6,22.68,3118.62,316,4985,25428
C - Sparse,20.L1.6060.A86301,Naive,200,486.88,0,0,0
C - Sparse,20.L1.6060.A8960(1-7),Naive,34.28,5717.3,0,0,972
C - Sparse,20.L1.6060.A8965(1-8),Naive,28.18,1976.23,0,0,0
C - Sparse,"20.L1.6060.A9166(1,2)",Naive,8.77,1990.77,4336,7699,18269
A - ML Candidate,"20.L1.8080.181(17,25,26,27,28,29)",ARIMA,82.92,222.47,201,69,124
A - ML Candidate,20.L1.8080.28101/28107,ARIMA,29.93,118.67,225,227,254
C - Sparse,20.L1.8080.6810(1-6),Naive,15.81,1522.48,64,1350,4690
C - Sparse,20.L1.8080.8980(1-7),Naive,21.94,3353.31,0,0,3671
C - Sparse,20.L1.8080.8985(1-8),Naive,13.71,1079.41,0,0,2
A - ML Candidate,"21.C100.DG.(MPECO,MPSET).00",Ensemble,22.07,22179.33,21564,429236,85500
A - ML Candidate,"21.C100.DG.(UNIECO,UNISET).00",Prophet,17.73,44230.98,18560,1741587,286526
A - ML Candidate,"21.C1T0.DG.(KBOND,KSET).00",LSTM,41.1,2527.73,1916,15068,7804
C - Sparse,21.C2TE.DG.ADESP9.00/01,Naive,0,0,0,0,0
C - Sparse,21.CG2WA.CR.SF.00/111/112/113,Naive,66.67,57.74,0,0,0
C - Sparse,"21.CT.AQUAFLEXR77.W(18,4)",Naive,133.33,8.33,0,0,0
A - ML Candidate,"22.C100.DG.(TBOND,TPRO2,UCPRO,UC-PRO,UNICHEMI,UNILUXPRO,UNITILE).00",Ensemble,34.25,133978.28,93077,897776,366847
A - ML Candidate,22.C200.DG.TBOND.00,ARIMA,72.2,3660.03,3133,8350,8367
